# Server version 0.08 running on 10.3.89.85:8123
# Game ID: 55
# Board class: hus.HusBoard
# Timeout: 2000
# First Move Timeout: 30000
# Date: Sun Apr 10 01:18:16 EDT 2016
# Player 1: Player-0, 'RandomHusPlayer', running on localhost
# Player 2: Player-1, '260526672', running on localhost
START Player-0 RandomHusPlayer
START Player-1 260526672
PIT 0 15
PIT 1 13
PIT 0 16
PIT 1 7
PIT 0 0
PIT 1 8
PIT 0 12
PIT 1 16
PIT 0 3
PIT 1 3
PIT 0 1
PIT 1 1
PIT 0 23
PIT 1 24
PIT 0 22
PIT 1 2
PIT 0 15
PIT 1 4
PIT 0 10
PIT 1 7
PIT 0 29
PIT 1 18
PIT 0 13
PIT 1 10
PIT 0 1
PIT 1 13
PIT 0 6
PIT 1 0
PIT 0 26
PIT 1 11
PIT 0 15
PIT 1 12
PIT 0 7
PIT 1 15
PIT 0 14
PIT 1 3
PIT 0 11
PIT 1 13
PIT 0 20
GAMEOVER WINNER 0
# Game ended: Sun Apr 10 01:19:03 EDT 2016
