# Server version 0.08 running on localhost:8123
# Game ID: 200
# Board class: hus.HusBoard
# Timeout: 300000
# First Move Timeout: 30000
# Date: Tue Apr 12 18:49:37 EDT 2016
# Player 1: Player-0, 'RandomHusPlayer', running on localhost
# Player 2: Player-1, '260526672', running on localhost
START Player-0 RandomHusPlayer
START Player-1 260526672
PIT 0 11
PIT 1 17
PIT 0 12
PIT 1 20
PIT 0 20
PIT 1 16
PIT 0 9
PIT 1 10
PIT 0 2
PIT 1 23
PIT 0 1
PIT 1 19
PIT 0 0
PIT 1 1
PIT 0 6
PIT 1 8
PIT 0 9
PIT 1 0
GAMEOVER WINNER 1
# Game ended: Tue Apr 12 18:49:51 EDT 2016
